Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
4,4,police,police
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,16,eux,them
17,17,ville,city
18,18,chaque,each
19,19,parlé,speak
20,20,arrivé,come
21,21,devrait,should
22,22,bébé,baby
23,23,longtemps,long time
24,24,heures,hours
25,25,pendant,while
26,26,revoir,meet again
27,27,aucune,any
28,29,parle,speak
29,30,compris,understood
30,31,savais,knew
31,32,étaient,were
32,33,attention,Warning
33,34,voici,here is
34,35,pourrais,could
36,37,donner,give
37,38,type,type
38,39,leurs,their
39,40,donné,given
40,41,train,train
41,42,corps,body
42,43,endroit,place
43,44,yeux,eyes
44,45,façon,way
45,46,écoute,listen
47,48,trouve,find
48,49,premier,first
49,50,perdu,lost
50,51,main,hand
51,52,première,first
52,53,côté,side
53,54,pouvoir,power
54,55,vieux,old
55,56,sois,be
56,57,tiens,here
57,58,matin,morning
58,59,tellement,so much
59,60,enfant,child
60,61,point,point
61,62,venu,came
62,63,suite,after
63,64,pardon,sorry
64,65,venez,come
65,66,devant,in front of
66,67,vers,towards
67,68,minutes,minutes
68,69,demandé,request
69,70,chambre,bedroom
70,71,mis,placed
71,72,belle,beautiful
72,73,droit,law
73,74,aimerais,would like to
74,75,aujourd'hui,today
75,76,mari,husband
76,77,cause,cause
77,78,enfin,finally
78,79,espère,hope
79,80,eau,water
80,81,attendez,Wait
81,82,parti,left
82,83,nouvelle,new
83,84,boulot,job
84,85,arrêter,Stop
86,87,terre,Earth
87,88,compte,account
88,89,loin,far
90,91,croire,believe
91,92,gros,large
93,94,aura,will have
94,95,filles,girls
95,96,jouer,to play
